Iris Raw,my Acurite (kph),my Acurite (mph)
0,0,0
1,2,1
2,2,1
3,3,2
4,3,2
5,5,3
6,5,3
7,6,4
8,6,4
9,8,5
10,8,5
11,10,6
12,10,6
13,11,7
14,11,7
15,13,8
16,13,8
17,14,9
18,14,9
19,16,10
20,16,10
21,18,11
22,18,11
23,19,12
24,19,12
25,21,13
26,23,14
27,23,14
28,24,15
29,24,15
30,26,16
31,26,16
32,27,17
33,27,17
34,29,18
35,29,18
36,31,19
37,31,19
38,32,20
39,32,20
40,34,21
41,34,21
42,35,22
43,35,22
44,37,23
45,37,23
46,39,24
47,39,24
48,40,25
49,40,25
50,42,26
51,42,26
52,43,27
53,43,27
54,45,28
55,45,28
56,47,29
57,47,29
58,48,30
59,48,30
60,51,32
61,51,32
62,53,33
63,53,33
64,55,34
65,55,34
66,56,35
67,56,35
68,58,36
69,58,36
70,60,37
71,60,37
72,61,38
73,61,38
74,63,39
75,63,39
76,64,40
77,64,40
78,66,41
79,66,41
80,68,42
81,68,42
82,69,43
83,69,43
84,71,44
85,71,44
86,72,45
87,72,45
88,74,46
89,74,46
90,76,47
91,76,47
92,77,48
93,77,48
94,79,49
95,80,50
96,80,50
97,82,51
98,82,51
99,84,52
100,84,52
101,85,53
102,85,53
103,87,54
104,87,54
105,89,55
106,89,55
107,90,56
108,90,56
109,92,57
110,92,57
111,93,58
112,93,58
113,95,59
114,95,59
115,97,60
116,97,60
117,98,61
118,98,61
119,100,62
120,100,62
121,101,63
122,101,63
123,103,64
124,103,64
125,105,65
126,105,65
127,106,66
128,106,66
129,108,67
130,109,68
131,109,68
132,111,69
133,111,69
134,113,70
135,113,70
136,114,71
137,116,72
138,116,72
139,117,73
140,117,73
141,119,74
142,119,74
143,121,75
144,121,75
145,122,76
146,122,76
147,124,77
148,124,77
149,126,78
150,126,78
151,127,79
152,127,79
153,129,80
154,129,80
155,130,81
156,130,81
157,132,82
158,132,82
159,134,83
160,134,83
161,135,84
162,137,85
163,137,85
164,138,86
165,138,86
166,140,87
167,140,87
168,142,88
169,142,88
170,143,89
171,143,89
172,145,90
173,145,90
174,146,91
175,146,91
176,148,92
177,148,92
178,150,93
179,150,93
180,151,94
181,153,95
182,153,95
183,154,96
184,154,96
185,156,97
186,156,97
187,158,98
188,158,98
189,159,99
190,159,99
191,161,100
192,161,100
193,163,101
194,163,101
195,164,102
196,166,103
197,166,103
198,167,104
199,167,104
200,169,105
201,169,105
202,171,106
203,171,106
204,172,107
205,172,107
206,174,108
207,174,108
208,175,109
209,175,109
210,177,110
211,177,110
212,179,111
213,179,111
214,180,112
215,180,112
216,182,113
217,182,113
218,183,114
219,183,114
220,185,115
221,185,115
222,187,116
223,187,116
224,188,117
225,188,117
226,190,118
227,190,118
228,192,119
229,192,119
230,193,120
231,195,121
232,195,121
233,196,122
234,196,122
235,198,123
236,198,123
237,200,124
238,200,124
239,201,125
240,201,125
241,203,126
242,203,126
243,204,127
244,204,127
245,206,128
246,206,128
247,208,129
248,208,129
249,209,130
250,209,130
251,209,130
