Notos Raw,my Acurite (kph),my Acurite (mph)
0,0,0
1,2,1
2,5,3
3,6,4
4,10,6
5,13,8
6,14,9
7,18,11
8,19,12
9,23,14
10,26,16
11,27,17
12,31,19
13,32,20
14,35,22
15,39,24
16,40,25
17,43,27
18,45,28
19,48,30
20,51,32
21,53,33
22,56,35
23,58,36
24,61,38
25,64,40
26,66,41
27,69,43
28,71,44
29,74,46
30,77,48
31,79,49
32,82,51
33,85,53
34,87,54
35,90,56
36,92,57
37,95,59
38,98,61
39,100,62
40,103,64
41,105,65
42,108,67
43,111,69
44,113,70
45,116,72
46,117,73
47,121,75
48,124,77
49,126,78
50,129,80
51,130,81
52,134,83
53,137,85
54,138,86
55,142,88
56,143,89
57,146,91
58,150,93
59,151,94
60,154,96
61,156,97
62,159,99
63,163,101
64,164,102
65,167,104
66,171,106
67,172,107
68,175,109
69,177,110
70,180,112
71,183,114
72,185,115
73,188,117
74,190,118
75,193,120
76,196,122
77,198,123
78,201,125
